id;name;id_number;status;phone;adress_line_1;adress_line_2;city;country;state
1;Isle;benchmark;NON_COMPLIANT;"9565";Account Health;bypass Enterprise-wide;Twin Falls;Portugal;teal reboot invoice
2;Analyst schemas Electronics;Research Automotive explicit;NON_COMPLIANT;"0";JBOD Greece Australian;Technician Road;Levittown;Pitcairn Islands;SCSI
3;Tuna architecture Awesome;standardization Borders Awesome;NON_COMPLIANT;"453336";compressing virtual;Grass-roots;Battle Creek;Peru;Cambridgeshire strategize plum
4;Re-contextualized;leverage magnetic SCSI;NON_COMPLIANT;"4522";Computer;quantify;East Kane;Bolivia;California
5;AI;Azerbaijanian plug-and-play firewall;COMPLIANT;"46438";payment Glen;Borders Customizable;Lake Eudora;Heard Island and McDonald Islands;indexing RAM synthesize
6;Gorgeous mobile bleeding-edge;interface Chips;NON_COMPLIANT;"442";Georgia;Borders;Lake Gay;Guadeloupe;Avon
7;Awesome Refined Personal;network Soap invoice;NON_COMPLIANT;"40078";Keyboard Jewelery;Electronics Coordinator connect;Atascocita;Faroe Islands;magnetic Credit Reduced
8;generating Soap;capability Markets Metal;COMPLIANT;"3224";Row Fantastic Object-based;Operations;Laredo;Chile;killer input
9;GB;Music Gorgeous;NON_COMPLIANT;"217";Buckinghamshire RSS;Buckinghamshire Belize;Taylorsville;Greece;Ergonomic
10;incentivize;Small Mandatory Intranet;NON_COMPLIANT;"26";RAM Music Account;zero Manager;Gilroy;Lebanon;quantifying Sandwich hardware
